1070,1303
2046,2493
1762,2494
1292,2495
1628,2496
1381,2497
137,2498
673,684
876,2499
2104,215
1712,2500
368,2501
1171,2501
1432,2501
2321,2502
1451,1075
997,2501
566,2503
1876,2504
820,2008
2102,2501
792,1455
2051,2505
1551,2501
1127,2506
360,1455
1848,2507
876,1223
1809,215
1238,2501
468,2503
85,679
792,2508
897,1736
876,2509
871,2500
1646,2510
1214,1382
819,2511
678,2512
2088,2500
873,2498
876,82
678,2008
2441,2513
1872,2498
605,2498
1184,2514
690,2515
1762,2516
1115,2517
2287,2502
1867,2518
1403,2519
1009,2056
856,821
876,2502
678,2520
14,2501
1123,679
444,2521
2478,2522
950,2503
678,1382
1504,2501
856,2523
2331,2503
2061,1382
1037,2524
477,2501
1336,2525
678,2526
94,2008
1586,2498
678,2527
199,2528
2459,2529
1528,215
2202,2501
455,2530
455,2500
255,2531
1628,2529
1381,1075
1152,2532
1091,2501
1186,2500
1848,215
1627,515
2369,2503
2220,2503
1627,1781
133,2500
105,2533
2287,2499
408,1382
2213,2534
1627,635
833,2535
89,2503
979,2536
1796,2521
1186,2537
1183,2501
529,1140
448,2529
663,2500
2371,2538
63,2501
2488,1223
425,1382
1358,1381
184,1382
15,2539
1832,82
378,2494
1919,2500
781,2500
678,2540
560,2536
1646,2008
1420,2500
2151,2541
314,2498
67,1382
67,1382
2416,2542
642,2515
1068,2543
314,2544
67,1381
1785,2501
939,1545
665,1545
2476,2501
481,2538
2232,2495
602,2503
2392,2499
1481,679
67,2545
2452,2536
620,913
581,2502
67,2394
1920,1545
894,1115
1165,2056
1091,2546
1627,1824
998,2547
2026,2544
1390,2503
67,1223
753,2502
1506,2504
189,2508
294,2508
989,2548
1153,2521
1375,2503
23,2549
1776,2509
2343,1223
1734,2550
1084,2495
471,2501
1627,948
2135,2551
513,2500
712,2552
1708,2501
1774,2529
2372,316
1455,2544
2202,2528
2441,2501
598,2502
1774,2553
918,1955
195,2008
1028,2536
1599,2547
874,2502
2242,2501
1455,215
2453,2501
1028,913
833,2525
2176,2500
669,1564
1955,344
2085,2554
604,2529
2064,2515
67,2555
1675,2535
710,2502
48,2508
987,2556
678,1381
294,82
203,2502
894,2557
2289,2529
67,2529
1955,1314
1913,1382
105,2501
678,215
590,731
888,2521
551,2519
211,2549
663,2541
503,2531
171,2549
678,2558
2085,2008
716,82
183,2008
2283,2535
1416,2559
1451,1382
2033,2560
128,2561
1920,2508
894,2562
1753,2563
1268,2560
597,2525
